WELL_ID,YEAR,HEAD
699-40-62,1994.7241615332,124.445
699-40-62,1994.88021902806,124.085
699-40-62,1994.91854893908,124.204
699-40-62,1995.31553730322,124.088
699-40-62,1995.4688569473,124.106
699-40-62,1995.66324435318,124.033
699-40-62,1995.96714579055,124.03
699-40-62,1995.98631074606,124.088
699-40-62,1996.24640657084,124.054
699-40-62,1996.44900752909,124.128
699-40-62,1996.46543463381,124.036
699-40-62,1996.96098562628,124.012
699-40-62,1997.44558521561,123.969
699-40-62,1998.43942505133,123.804
699-40-62,1999.1923340178,123.597
699-40-62,2000.09308692676,123.6
699-40-62,2000.23819301848,123.582
699-40-62,2001.2128678987,123.335
699-40-62,2002.22039698836,123.268
699-40-62,2003.05817932923,123.134
699-40-62,2003.17316906229,123.192
699-40-62,2004.22450376454,123.103
699-40-62,2005.24024640657,122.956
699-40-62,2005.88090349076,122.882
699-40-62,2006.2970568104,122.875
699-40-62,2007.19507186858,122.802
699-40-62,2007.5947980835,122.768
699-40-62,2007.96714579055,122.79
699-40-62,2008.19986310746,122.765
699-40-62,2008.34770704997,122.754
699-40-62,2009.22381930185,122.653
699-40-62,2009.61806981519,122.672
699-40-62,2010.15742642026,122.584
699-40-62,2011.20054757016,122.518
699-40-62,2011.26351813826,122.528
699-40-62,2011.91786447639,122.512
699-40-62,2012.04654346338,122.562
699-40-62,2012.2765229295,122.486
699-40-62,2013.06502395619,122.542
699-40-62,2013.18548939083,122.482
699-40-62,2014.18836413415,122.456
699-40-62,2014.21856262834,122.441
699-40-62,2015.0594934976,122.487
699-40-62,2015.21297741273,122.482
699-40-62,2015.74091718001,122.513
699-40-62,2015.89442847365,122.503
699-40-62,2015.96046543463,122.518
699-40-62,2016.05911019849,122.544
699-40-62,2016.07750855578,122.524
699-40-62,2016.13297741273,122.557
699-40-62,2016.2093908282,122.578
699-40-62,2016.28829568789,122.521
699-40-62,2016.38173853525,122.535
699-40-62,2016.48862422998,122.527
699-40-62,2016.55422313484,122.535
699-41-35,1992.97193702943,126.649
699-41-35,1993.14442162902,126.61
699-41-35,1993.14715947981,126.616
699-41-35,1993.22108145106,126.683
699-41-35,1993.26762491444,126.646
699-41-35,1993.34428473648,126.616
699-41-35,1993.36344969199,126.634
699-41-35,1993.47022587269,126.64
699-41-35,1993.51950718686,126.579
699-41-35,1993.5961670089,126.579
699-41-35,1993.60438056126,126.543
699-41-35,1993.67282683094,126.497
699-41-35,1993.75770020534,126.531
699-41-35,1993.76865160849,126.46
699-41-35,1993.8726899384,126.518
699-41-35,1993.94934976044,126.531
699-41-35,1994.00684462697,126.494
699-41-35,1994.05065023956,126.491
699-41-35,1994.1054072553,126.567
699-41-35,1994.22039698836,126.528
699-41-35,1994.28336755647,126.506
699-41-35,1994.28336755647,126.433
699-41-35,1994.39014373717,126.509
699-41-35,1994.46680355921,126.561
699-41-35,1994.55441478439,126.601
699-41-35,1994.58726899384,126.579
699-41-35,1994.60095824778,126.564
699-41-35,1994.6803559206,126.528
699-41-35,1994.81177275838,126.521
699-41-35,1994.81998631075,126.631
699-41-35,1994.87748117728,126.61
699-41-35,1994.94592744695,126.588
699-41-35,1995.02258726899,126.677
699-41-35,1995.05270362765,126.494
699-41-35,1995.12936344969,126.576
699-41-35,1995.18685831622,126.713
699-41-35,1995.21971252567,126.656
699-41-35,1995.24161533196,126.543
699-41-35,1995.29089664613,126.585
699-41-35,1995.29911019849,126.631
699-41-35,1995.37303216975,126.607
699-41-35,1995.45516769336,126.598
699-41-35,1995.52087611225,126.57
699-41-35,1995.57837097878,126.543
